KATEGORI BAWAH 446,Tahun Permohonan,NOPAC,NAMA SYARIKAT / PENYEDIA,ALAMAT,ADD1,ADD2,ADD3,DAERAH,KAPASITI,SEKTOR,X,Y
MAJIKAN,2021,PAC/10401/2021/36217,PROTECTION TECHNOLOGIES (M) SDN BHD,"NO. 14,, JALAN ZUHAL 8, TAMAN TANJUNG MINYAK PERDANA","NO. 14,",JALAN ZUHAL 8,TAMAN TANJUNG MINYAK PERDANA,MELAKA TENGAH,9,C - Pembuatan,2.280186407,102.1893917
MAJIKAN,2021,PAC/10401/2021/51044,ULTIMATE TECHNOLOGY SDN BHD,"DT G-0-02, JALAN ANGKASA NURI 47, TAMAN ANGKASA NURI",DT G-0-02,JALAN ANGKASA NURI 47,TAMAN ANGKASA NURI,ALOR GAJAH,6,C - Pembuatan,2.280192453,102.2500368
MAJIKAN,2024,PAC/10401/2024/103903,ULTIMATE TECHNOLOGY SDN BHD,"DT G-0-02, JALAN ANGKASA NURI 47,, TAMAN ANGKASA NURI",DT G-0-02,"JALAN ANGKASA NURI 47,",TAMAN ANGKASA NURI,ALOR GAJAH,6,C - Pembuatan,2.280328523,102.2497209
MAJIKAN,2023,PAC/10401/2023/79591,GT TECH PRECISION SDN. BHD.,"DT 1430, JALAN GARUDA 2,, TAMAN GARUDA,, 76100 DURIAN TUNGGAL, MELAKA.","DT 1430, JALAN GARUDA 2,","TAMAN GARUDA,","76100 DURIAN TUNGGAL, MELAKA.",ALOR GAJAH,7,C - Pembuatan,2.280471426,102.2640153
MAJIKAN,2022,PAC/10401/2022/61427,SUNTECH AUTOMOTIVE ENGINEERING AND SERVICES SDN BHD,"DT 1422, JALAN GARUDA 2, TAMAN GARUDA DURIAN TUNGGAL, 76100 HANG TUAH JAYA MELAKA","DT 1422, JALAN GARUDA 2","TAMAN GARUDA DURIAN TUNGGAL, 76100 HANG TUAH JAYA MELAKA",,MELAKA TENGAH,7,C - Pembuatan,2.280686809,102.2636429
MAJIKAN,2023,PAC/10401/2023/78547,7 HILL ENTERPRISE,"17, JALAN ZAPIN 5, TAMAN PAYA RUMPUT UTAMA","17, JALAN ZAPIN 5",TAMAN PAYA RUMPUT UTAMA,,MELAKA TENGAH,9,I - Penginapan dan aktiviti perkhidmatan makanan dan minuman,2.280757552,102.2196681
MAJIKAN,2023,PAC/10401/2023/84661,Lolla Industries (M) Sdn Bhd,"No 50, (lot 63701) Jalan IAN 1, Industri Angkasa Nuri, Mukim Durian Tunggal, Alor Gajah, Hang Tuah Jaya,  Melaka.","No 50, (lot 63701) Jalan IAN 1, Industri Angkasa Nuri, Mukim Durian Tunggal, Alor Gajah, Hang Tuah Jaya,  Melaka.",,,ALOR GAJAH,4,C - Pembuatan,2.280939994,102.2540101
MAJIKAN,2021,PAC/10401/2021/34248,DIAN FATT (MELAKA) SDN BHD,"M8 1-2 JALAN SB4,TAMAN SRI BAYAN , HANG TUAH JAYA","M8 1-2 JALAN SB4,TAMAN SRI BAYAN , HANG TUAH JAYA",,,ALOR GAJAH,6,F - Pembinaan,2.281520253,102.2587326
PENYEDIA PENGINAPAN BERPUSAT,2021,PAC/10401/2021/37454,MITRA UNIQUE SDN BHD,"NO 25, JALAN ZUHAL 3, TAMAN TANJUNG MINYAK PERDANA.","NO 25, JALAN ZUHAL 3, TAMAN TANJUNG MINYAK PERDANA.",,,MELAKA TENGAH,18,S - Aktiviti perkhidmatan lain,2.282158972,102.1878005
MAJIKAN,2021,PAC/10401/2021/19890,AKIFF RESOURCES,"17,, JALAN TP 15, TAMAN TERENDAK PERMAI","17,",JALAN TP 15,TAMAN TERENDAK PERMAI,MELAKA TENGAH,6,F - Pembinaan,2.282263909,102.1298854
